"Sample","Population","Population.Description","Gender"
"HG02891","GWD","Gambian in Western Division, The Gambia","female"
"HG02895","GWD","Gambian in Western Division, The Gambia","male"
"HG02896","GWD","Gambian in Western Division, The Gambia","female"
"HG02922","ESN","Esan in Nigeria","female"
"HG02923","ESN","Esan in Nigeria","male"
"HG02938","ESN","Esan in Nigeria","male"
"HG02941","ESN","Esan in Nigeria","male"
"HG02943","ESN","Esan in Nigeria","female"
"HG02944","ESN","Esan in Nigeria","male"
"HG02946","ESN","Esan in Nigeria","female"
"HG02947","ESN","Esan in Nigeria","male"
"HG02952","ESN","Esan in Nigeria","female"
"HG02953","ESN","Esan in Nigeria","male"
"HG02968","ESN","Esan in Nigeria","male"
"HG02970","ESN","Esan in Nigeria","female"
"HG02971","ESN","Esan in Nigeria","male"
"HG02973","ESN","Esan in Nigeria","male"
"HG02974","ESN","Esan in Nigeria","female"
"HG02976","ESN","Esan in Nigeria","female"
"HG02977","ESN","Esan in Nigeria","male"
"HG02979","ESN","Esan in Nigeria","female"
"HG02981","ESN","Esan in Nigeria","male"
"HG02982","GWD","Gambian in Western Division, The Gambia","male"
"HG02983","GWD","Gambian in Western Division, The Gambia","female"
"HG03006","BEB","Bengali in Bangladesh","male"
"HG03007","BEB","Bengali in Bangladesh","female"
"HG03009","BEB","Bengali in Bangladesh","male"
"HG03012","BEB","Bengali in Bangladesh","male"
"HG03015","PJL","Punjabi in Lahore,Pakistan","male"
"HG03016","PJL","Punjabi in Lahore,Pakistan","female"
"HG03018","PJL","Punjabi in Lahore,Pakistan","male"
"HG03019","PJL","Punjabi in Lahore,Pakistan","female"
"HG03021","PJL","Punjabi in Lahore,Pakistan","male"
"HG03022","PJL","Punjabi in Lahore,Pakistan","female"
"HG03024","GWD","Gambian in Western Division, The Gambia","male"
"HG03025","GWD","Gambian in Western Division, The Gambia","female"
"HG03027","GWD","Gambian in Western Division, The Gambia","male"
"HG03028","GWD","Gambian in Western Division, The Gambia","female"
"HG03039","GWD","Gambian in Western Division, The Gambia","male"
"HG03040","GWD","Gambian in Western Division, The Gambia","female"
"HG03045","GWD","Gambian in Western Division, The Gambia","male"
"HG03046","GWD","Gambian in Western Division, The Gambia","female"
"HG03048","GWD","Gambian in Western Division, The Gambia","male"
"HG03049","GWD","Gambian in Western Division, The Gambia","female"
"HG03052","MSL","Mende in Sierra Leone","female"
"HG03054","MSL","Mende in Sierra Leone","male"
"HG03055","MSL","Mende in Sierra Leone","female"
"HG03057","MSL","Mende in Sierra Leone","male"
"HG03058","MSL","Mende in Sierra Leone","female"
"HG03060","MSL","Mende in Sierra Leone","male"
"HG03061","MSL","Mende in Sierra Leone","female"
"HG03063","MSL","Mende in Sierra Leone","male"
"HG03064","MSL","Mende in Sierra Leone","female"
"HG03066","MSL","Mende in Sierra Leone","male"
"HG03069","MSL","Mende in Sierra Leone","male"
"HG03072","MSL","Mende in Sierra Leone","male"
"HG03074","MSL","Mende in Sierra Leone","male"
"HG03077","MSL","Mende in Sierra Leone","male"
"HG03078","MSL","Mende in Sierra Leone","male"
"HG03079","MSL","Mende in Sierra Leone","female"
"HG03081","MSL","Mende in Sierra Leone","male"
"HG03082","MSL","Mende in Sierra Leone","female"
"HG03084","MSL","Mende in Sierra Leone","male"
"HG03085","MSL","Mende in Sierra Leone","female"
"HG03086","MSL","Mende in Sierra Leone","female"
"HG03088","MSL","Mende in Sierra Leone","female"
"HG03091","MSL","Mende in Sierra Leone","female"
"HG03095","MSL","Mende in Sierra Leone","female"
"HG03096","MSL","Mende in Sierra Leone","male"
"HG03097","MSL","Mende in Sierra Leone","female"
"HG03099","ESN","Esan in Nigeria","female"
"HG03100","ESN","Esan in Nigeria","male"
"HG03103","ESN","Esan in Nigeria","male"
"HG03105","ESN","Esan in Nigeria","female"
"HG03108","ESN","Esan in Nigeria","female"
"HG03109","ESN","Esan in Nigeria","male"
"HG03111","ESN","Esan in Nigeria","female"
"HG03112","ESN","Esan in Nigeria","male"
"HG03114","ESN","Esan in Nigeria","female"
"HG03115","ESN","Esan in Nigeria","male"
"HG03117","ESN","Esan in Nigeria","female"
"HG03118","ESN","Esan in Nigeria","male"
"HG03120","ESN","Esan in Nigeria","male"
"HG03121","ESN","Esan in Nigeria","female"
"HG03123","ESN","Esan in Nigeria","female"
"HG03124","ESN","Esan in Nigeria","male"
"HG03126","ESN","Esan in Nigeria","female"
"HG03127","ESN","Esan in Nigeria","male"
"HG03129","ESN","Esan in Nigeria","female"
"HG03130","ESN","Esan in Nigeria","male"
"HG03132","ESN","Esan in Nigeria","female"
"HG03133","ESN","Esan in Nigeria","male"
"HG03135","ESN","Esan in Nigeria","female"
"HG03136","ESN","Esan in Nigeria","male"
"HG03139","ESN","Esan in Nigeria","male"
"HG03157","ESN","Esan in Nigeria","male"
"HG03159","ESN","Esan in Nigeria","female"
"HG03160","ESN","Esan in Nigeria","male"
"HG03162","ESN","Esan in Nigeria","female"
"HG03163","ESN","Esan in Nigeria","male"
"HG03166","ESN","Esan in Nigeria","male"
"HG03168","ESN","Esan in Nigeria","female"
"HG03169","ESN","Esan in Nigeria","male"
"HG03171","ESN","Esan in Nigeria","female"
"HG03172","ESN","Esan in Nigeria","male"
"HG03175","ESN","Esan in Nigeria","male"
"HG03189","ESN","Esan in Nigeria","female"
"HG03190","ESN","Esan in Nigeria","male"
"HG03193","ESN","Esan in Nigeria","male"
"HG03195","ESN","Esan in Nigeria","female"
"HG03196","ESN","Esan in Nigeria","male"
"HG03198","ESN","Esan in Nigeria","female"
"HG03199","ESN","Esan in Nigeria","male"
"HG03202","ESN","Esan in Nigeria","male"
"HG03209","MSL","Mende in Sierra Leone","male"
"HG03212","MSL","Mende in Sierra Leone","female"
"HG03224","MSL","Mende in Sierra Leone","male"
"HG03225","MSL","Mende in Sierra Leone","male"
"HG03229","PJL","Punjabi in Lahore,Pakistan","female"
"HG03234","PJL","Punjabi in Lahore,Pakistan","male"
"HG03235","PJL","Punjabi in Lahore,Pakistan","female"
"HG03237","PJL","Punjabi in Lahore,Pakistan","male"
"HG03238","PJL","Punjabi in Lahore,Pakistan","female"
"HG03240","GWD","Gambian in Western Division, The Gambia","male"
"HG03241","GWD","Gambian in Western Division, The Gambia","female"
"HG03246","GWD","Gambian in Western Division, The Gambia","male"
"HG03247","GWD","Gambian in Western Division, The Gambia","female"
"HG03258","GWD","Gambian in Western Division, The Gambia","male"
"HG03259","GWD","Gambian in Western Division, The Gambia","female"
"HG03265","ESN","Esan in Nigeria","male"
"HG03267","ESN","Esan in Nigeria","female"
"HG03270","ESN","Esan in Nigeria","female"
"HG03271","ESN","Esan in Nigeria","male"
"HG03279","ESN","Esan in Nigeria","female"
"HG03280","ESN","Esan in Nigeria","male"
"HG03291","ESN","Esan in Nigeria","female"
"HG03294","ESN","Esan in Nigeria","female"
"HG03295","ESN","Esan in Nigeria","male"
"HG03297","ESN","Esan in Nigeria","female"
"HG03298","ESN","Esan in Nigeria","male"
"HG03300","ESN","Esan in Nigeria","female"
"HG03301","ESN","Esan in Nigeria","male"
"HG03303","ESN","Esan in Nigeria","female"
"HG03304","ESN","Esan in Nigeria","male"
"HG03311","ESN","Esan in Nigeria","male"
"HG03313","ESN","Esan in Nigeria","male"
"HG03342","ESN","Esan in Nigeria","female"
"HG03343","ESN","Esan in Nigeria","male"
"HG03351","ESN","Esan in Nigeria","female"
"HG03354","ESN","Esan in Nigeria","female"
"HG03363","ESN","Esan in Nigeria","female"
"HG03367","ESN","Esan in Nigeria","male"
"HG03369","ESN","Esan in Nigeria","female"
"HG03370","ESN","Esan in Nigeria","male"
"HG03376","MSL","Mende in Sierra Leone","male"
"HG03378","MSL","Mende in Sierra Leone","female"
"HG03380","MSL","Mende in Sierra Leone","female"
"HG03382","MSL","Mende in Sierra Leone","male"
"HG03385","MSL","Mende in Sierra Leone","male"
"HG03388","MSL","Mende in Sierra Leone","male"
"HG03391","MSL","Mende in Sierra Leone","male"
"HG03393","MSL","Mende in Sierra Leone","female"
"HG03394","MSL","Mende in Sierra Leone","male"
"HG03397","MSL","Mende in Sierra Leone","male"
"HG03398","MSL","Mende in Sierra Leone","female"
"HG03401","MSL","Mende in Sierra Leone","female"
"HG03410","MSL","Mende in Sierra Leone","female"
"HG03419","MSL","Mende in Sierra Leone","female"
"HG03431","MSL","Mende in Sierra Leone","female"
"HG03432","MSL","Mende in Sierra Leone","male"
"HG03433","MSL","Mende in Sierra Leone","male"
"HG03436","MSL","Mende in Sierra Leone","male"
"HG03437","MSL","Mende in Sierra Leone","female"
"HG03439","MSL","Mende in Sierra Leone","male"
"HG03442","MSL","Mende in Sierra Leone","male"
"HG03445","MSL","Mende in Sierra Leone","male"
"HG03446","MSL","Mende in Sierra Leone","female"
"HG03449","MSL","Mende in Sierra Leone","female"
"HG03451","MSL","Mende in Sierra Leone","male"
"HG03452","MSL","Mende in Sierra Leone","female"
"HG03455","MSL","Mende in Sierra Leone","female"
"HG03458","MSL","Mende in Sierra Leone","female"
"HG03460","MSL","Mende in Sierra Leone","male"
"HG03461","MSL","Mende in Sierra Leone","female"
"HG03462","MSL","Mende in Sierra Leone","male"
"HG03464","MSL","Mende in Sierra Leone","female"
"HG03472","MSL","Mende in Sierra Leone","male"
"HG03473","MSL","Mende in Sierra Leone","female"
"HG03476","MSL","Mende in Sierra Leone","female"
"HG03479","MSL","Mende in Sierra Leone","female"
"HG03485","MSL","Mende in Sierra Leone","female"
"HG03488","PJL","Punjabi in Lahore,Pakistan","female"
"HG03490","PJL","Punjabi in Lahore,Pakistan","male"
"HG03491","PJL","Punjabi in Lahore,Pakistan","female"
"HG03499","ESN","Esan in Nigeria","female"
"HG03511","ESN","Esan in Nigeria","female"
"HG03514","ESN","Esan in Nigeria","female"
"HG03515","ESN","Esan in Nigeria","male"
"HG03517","ESN","Esan in Nigeria","female"
"HG03518","ESN","Esan in Nigeria","male"
"HG03520","ESN","Esan in Nigeria","female"
"HG03521","ESN","Esan in Nigeria","male"
"HG03538","GWD","Gambian in Western Division, The Gambia","male"
"HG03539","GWD","Gambian in Western Division, The Gambia","female"
"HG03547","MSL","Mende in Sierra Leone","male"
"HG03548","MSL","Mende in Sierra Leone","female"
"HG03549","MSL","Mende in Sierra Leone","female"
"HG03557","MSL","Mende in Sierra Leone","female"
"HG03558","MSL","Mende in Sierra Leone","female"
"HG03559","MSL","Mende in Sierra Leone","male"
"HG03563","MSL","Mende in Sierra Leone","female"
"HG03565","MSL","Mende in Sierra Leone","male"
"HG03567","MSL","Mende in Sierra Leone","female"
"HG03571","MSL","Mende in Sierra Leone","male"
"HG03572","MSL","Mende in Sierra Leone","female"
"HG03575","MSL","Mende in Sierra Leone","female"
"HG03577","MSL","Mende in Sierra Leone","male"
"HG03578","MSL","Mende in Sierra Leone","female"
"HG03583","MSL","Mende in Sierra Leone","female"
"HG03585","BEB","Bengali in Bangladesh","male"
"HG03589","BEB","Bengali in Bangladesh","female"
"HG03593","BEB","Bengali in Bangladesh","male"
"HG03594","BEB","Bengali in Bangladesh","male"
"HG03595","BEB","Bengali in Bangladesh","female"
"HG03598","BEB","Bengali in Bangladesh","female"
"HG03600","BEB","Bengali in Bangladesh","male"
"HG03603","BEB","Bengali in Bangladesh","male"
"HG03604","BEB","Bengali in Bangladesh","female"
"HG03607","BEB","Bengali in Bangladesh","female"
"HG03611","BEB","Bengali in Bangladesh","female"
"HG03615","BEB","Bengali in Bangladesh","male"
"HG03616","BEB","Bengali in Bangladesh","female"
"HG03619","PJL","Punjabi in Lahore,Pakistan","female"
"HG03624","PJL","Punjabi in Lahore,Pakistan","male"
"HG03625","PJL","Punjabi in Lahore,Pakistan","female"
"HG03629","PJL","Punjabi in Lahore,Pakistan","male"
"HG03631","PJL","Punjabi in Lahore,Pakistan","female"
"HG03634","PJL","Punjabi in Lahore,Pakistan","female"
"HG03636","PJL","Punjabi in Lahore,Pakistan","male"
"HG03640","PJL","Punjabi in Lahore,Pakistan","female"
"HG03642","STU","Sri Lankan Tamil in the UK","female"
"HG03643","STU","Sri Lankan Tamil in the UK","female"
"HG03644","STU","Sri Lankan Tamil in the UK","male"
"HG03645","STU","Sri Lankan Tamil in the UK","female"
"HG03646","STU","Sri Lankan Tamil in the UK","male"
"HG03649","PJL","Punjabi in Lahore,Pakistan","male"
"HG03652","PJL","Punjabi in Lahore,Pakistan","male"
"HG03653","PJL","Punjabi in Lahore,Pakistan","female"
"HG03660","PJL","Punjabi in Lahore,Pakistan","male"
"HG03663","PJL","Punjabi in Lahore,Pakistan","male"
"HG03667","PJL","Punjabi in Lahore,Pakistan","male"
"HG03668","PJL","Punjabi in Lahore,Pakistan","female"
"HG03672","STU","Sri Lankan Tamil in the UK","male"
"HG03673","STU","Sri Lankan Tamil in the UK","female"
"HG03679","STU","Sri Lankan Tamil in the UK","male"
"HG03680","STU","Sri Lankan Tamil in the UK","male"
"HG03681","STU","Sri Lankan Tamil in the UK","male"
"HG03684","STU","Sri Lankan Tamil in the UK","female"
"HG03685","STU","Sri Lankan Tamil in the UK","male"
"HG03686","STU","Sri Lankan Tamil in the UK","male"
"HG03687","STU","Sri Lankan Tamil in the UK","male"
"HG03689","STU","Sri Lankan Tamil in the UK","female"
"HG03690","STU","Sri Lankan Tamil in the UK","female"
"HG03691","STU","Sri Lankan Tamil in the UK","male"
"HG03692","STU","Sri Lankan Tamil in the UK","female"
"HG03693","STU","Sri Lankan Tamil in the UK","male"
"HG03694","STU","Sri Lankan Tamil in the UK","male"
"HG03695","STU","Sri Lankan Tamil in the UK","male"
"HG03696","STU","Sri Lankan Tamil in the UK","male"
"HG03697","STU","Sri Lankan Tamil in the UK","male"
"HG03698","STU","Sri Lankan Tamil in the UK","female"
"HG03702","PJL","Punjabi in Lahore,Pakistan","male"
"HG03703","PJL","Punjabi in Lahore,Pakistan","female"
"HG03705","PJL","Punjabi in Lahore,Pakistan","male"
"HG03706","PJL","Punjabi in Lahore,Pakistan","female"
"HG03708","PJL","Punjabi in Lahore,Pakistan","male"
"HG03709","PJL","Punjabi in Lahore,Pakistan","female"
"HG03711","STU","Sri Lankan Tamil in the UK","male"
"HG03713","ITU","Indian Telugu in the UK","male"
"HG03714","ITU","Indian Telugu in the UK","female"
"HG03716","ITU","Indian Telugu in the UK","male"
"HG03717","ITU","Indian Telugu in the UK","female"
"HG03718","ITU","Indian Telugu in the UK","male"
"HG03720","ITU","Indian Telugu in the UK","male"
"HG03722","ITU","Indian Telugu in the UK","female"
"HG03727","ITU","Indian Telugu in the UK","male"
"HG03729","ITU","Indian Telugu in the UK","male"
"HG03730","ITU","Indian Telugu in the UK","female"
"HG03731","ITU","Indian Telugu in the UK","female"
"HG03733","STU","Sri Lankan Tamil in the UK","female"
"HG03736","STU","Sri Lankan Tamil in the UK","female"
"HG03738","STU","Sri Lankan Tamil in the UK","male"
"HG03740","STU","Sri Lankan Tamil in the UK","male"
"HG03741","STU","Sri Lankan Tamil in the UK","female"
"HG03742","ITU","Indian Telugu in the UK","male"
"HG03743","STU","Sri Lankan Tamil in the UK","male"
"HG03744","STU","Sri Lankan Tamil in the UK","male"
"HG03745","STU","Sri Lankan Tamil in the UK","male"
"HG03746","STU","Sri Lankan Tamil in the UK","male"
"HG03750","STU","Sri Lankan Tamil in the UK","male"
"HG03752","STU","Sri Lankan Tamil in the UK","female"
"HG03753","STU","Sri Lankan Tamil in the UK","male"
"HG03754","STU","Sri Lankan Tamil in the UK","female"
"HG03755","STU","Sri Lankan Tamil in the UK","male"
"HG03756","STU","Sri Lankan Tamil in the UK","female"
"HG03757","STU","Sri Lankan Tamil in the UK","female"
"HG03760","STU","Sri Lankan Tamil in the UK","female"
"HG03762","PJL","Punjabi in Lahore,Pakistan","female"
"HG03765","PJL","Punjabi in Lahore,Pakistan","female"
"HG03767","PJL","Punjabi in Lahore,Pakistan","male"
"HG03770","ITU","Indian Telugu in the UK","female"
"HG03771","ITU","Indian Telugu in the UK","male"
"HG03772","ITU","Indian Telugu in the UK","female"
"HG03773","ITU","Indian Telugu in the UK","male"
"HG03774","ITU","Indian Telugu in the UK","female"
"HG03775","ITU","Indian Telugu in the UK","male"
"HG03777","ITU","Indian Telugu in the UK","male"
"HG03778","ITU","Indian Telugu in the UK","male"
"HG03779","ITU","Indian Telugu in the UK","male"
"HG03780","ITU","Indian Telugu in the UK","female"
"HG03781","ITU","Indian Telugu in the UK","female"
"HG03782","ITU","Indian Telugu in the UK","female"
"HG03784","ITU","Indian Telugu in the UK","female"
"HG03785","ITU","Indian Telugu in the UK","male"
"HG03786","ITU","Indian Telugu in the UK","male"
"HG03787","ITU","Indian Telugu in the UK","female"
"HG03788","ITU","Indian Telugu in the UK","male"
"HG03789","ITU","Indian Telugu in the UK","female"
"HG03790","ITU","Indian Telugu in the UK","male"
"HG03792","ITU","Indian Telugu in the UK","male"
"HG03793","BEB","Bengali in Bangladesh","female"
"HG03796","BEB","Bengali in Bangladesh","female"
"HG03800","BEB","Bengali in Bangladesh","male"
"HG03802","BEB","Bengali in Bangladesh","female"
"HG03803","BEB","Bengali in Bangladesh","male"
"HG03805","BEB","Bengali in Bangladesh","female"
"HG03808","BEB","Bengali in Bangladesh","female"
"HG03809","BEB","Bengali in Bangladesh","male"
"HG03812","BEB","Bengali in Bangladesh","male"
"HG03814","BEB","Bengali in Bangladesh","female"
"HG03815","BEB","Bengali in Bangladesh","male"
"HG03817","BEB","Bengali in Bangladesh","female"
"HG03821","BEB","Bengali in Bangladesh","male"
"HG03823","BEB","Bengali in Bangladesh","female"
"HG03824","BEB","Bengali in Bangladesh","male"
"HG03826","BEB","Bengali in Bangladesh","female"
"HG03829","BEB","Bengali in Bangladesh","female"
"HG03830","BEB","Bengali in Bangladesh","male"
"HG03832","BEB","Bengali in Bangladesh","female"
"HG03833","BEB","Bengali in Bangladesh","male"
"HG03836","STU","Sri Lankan Tamil in the UK","female"
"HG03837","STU","Sri Lankan Tamil in the UK","male"
"HG03838","STU","Sri Lankan Tamil in the UK","female"
"HG03844","STU","Sri Lankan Tamil in the UK","male"
"HG03846","STU","Sri Lankan Tamil in the UK","male"
"HG03848","STU","Sri Lankan Tamil in the UK","male"
"HG03849","STU","Sri Lankan Tamil in the UK","female"
"HG03850","STU","Sri Lankan Tamil in the UK","male"
"HG03851","STU","Sri Lankan Tamil in the UK","male"
"HG03854","STU","Sri Lankan Tamil in the UK","male"
"HG03856","STU","Sri Lankan Tamil in the UK","male"
"HG03857","STU","Sri Lankan Tamil in the UK","female"
"HG03858","STU","Sri Lankan Tamil in the UK","female"
"HG03861","ITU","Indian Telugu in the UK","female"
"HG03862","ITU","Indian Telugu in the UK","female"
"HG03863","ITU","Indian Telugu in the UK","female"
"HG03864","ITU","Indian Telugu in the UK","male"
"HG03866","ITU","Indian Telugu in the UK","male"
"HG03867","ITU","Indian Telugu in the UK","male"
"HG03868","ITU","Indian Telugu in the UK","female"
"HG03869","ITU","Indian Telugu in the UK","male"
"HG03870","ITU","Indian Telugu in the UK","male"
"HG03871","ITU","Indian Telugu in the UK","male"
"HG03872","ITU","Indian Telugu in the UK","male"
"HG03873","ITU","Indian Telugu in the UK","female"
"HG03874","ITU","Indian Telugu in the UK","female"
"HG03875","ITU","Indian Telugu in the UK","male"
"HG03882","ITU","Indian Telugu in the UK","female"
"HG03884","STU","Sri Lankan Tamil in the UK","female"
"HG03885","STU","Sri Lankan Tamil in the UK","male"
"HG03886","STU","Sri Lankan Tamil in the UK","female"
"HG03887","STU","Sri Lankan Tamil in the UK","male"
"HG03888","STU","Sri Lankan Tamil in the UK","female"
"HG03890","STU","Sri Lankan Tamil in the UK","male"
"HG03894","STU","Sri Lankan Tamil in the UK","female"
"HG03895","STU","Sri Lankan Tamil in the UK","female"
"HG03896","STU","Sri Lankan Tamil in the UK","male"
"HG03897","STU","Sri Lankan Tamil in the UK","female"
"HG03898","STU","Sri Lankan Tamil in the UK","female"
"HG03899","STU","Sri Lankan Tamil in the UK","male"
"HG03900","STU","Sri Lankan Tamil in the UK","male"
"HG03902","BEB","Bengali in Bangladesh","male"
"HG03905","BEB","Bengali in Bangladesh","male"
"HG03907","BEB","Bengali in Bangladesh","female"
"HG03908","BEB","Bengali in Bangladesh","male"
"HG03910","BEB","Bengali in Bangladesh","female"
"HG03911","BEB","Bengali in Bangladesh","male"
"HG03913","BEB","Bengali in Bangladesh","female"
"HG03914","BEB","Bengali in Bangladesh","male"
"HG03916","BEB","Bengali in Bangladesh","female"
"HG03917","BEB","Bengali in Bangladesh","male"
"HG03919","BEB","Bengali in Bangladesh","female"
"HG03920","BEB","Bengali in Bangladesh","male"
"HG03922","BEB","Bengali in Bangladesh","female"
"HG03925","BEB","Bengali in Bangladesh","female"
"HG03926","BEB","Bengali in Bangladesh","male"
"HG03928","BEB","Bengali in Bangladesh","female"
"HG03931","BEB","Bengali in Bangladesh","female"
"HG03934","BEB","Bengali in Bangladesh","female"
"HG03937","BEB","Bengali in Bangladesh","female"
"HG03940","BEB","Bengali in Bangladesh","female"
"HG03941","BEB","Bengali in Bangladesh","male"
"HG03943","STU","Sri Lankan Tamil in the UK","male"
"HG03944","STU","Sri Lankan Tamil in the UK","female"
"HG03945","STU","Sri Lankan Tamil in the UK","female"
"HG03947","STU","Sri Lankan Tamil in the UK","female"
"HG03949","STU","Sri Lankan Tamil in the UK","female"
"HG03950","STU","Sri Lankan Tamil in the UK","male"
"HG03951","STU","Sri Lankan Tamil in the UK","female"
"HG03953","STU","Sri Lankan Tamil in the UK","male"
"HG03955","STU","Sri Lankan Tamil in the UK","female"
"HG03960","ITU","Indian Telugu in the UK","male"
"HG03963","ITU","Indian Telugu in the UK","male"
"HG03965","ITU","Indian Telugu in the UK","male"
"HG03967","ITU","Indian Telugu in the UK","male"
"HG03968","ITU","Indian Telugu in the UK","female"
"HG03969","ITU","Indian Telugu in the UK","male"
"HG03971","ITU","Indian Telugu in the UK","male"
"HG03973","ITU","Indian Telugu in the UK","female"
"HG03974","ITU","Indian Telugu in the UK","male"
"HG03976","ITU","Indian Telugu in the UK","male"
"HG03977","ITU","Indian Telugu in the UK","female"
"HG03978","ITU","Indian Telugu in the UK","male"
"HG03985","STU","Sri Lankan Tamil in the UK","male"
"HG03986","STU","Sri Lankan Tamil in the UK","female"
"HG03989","STU","Sri Lankan Tamil in the UK","female"
"HG03990","STU","Sri Lankan Tamil in the UK","male"
"HG03991","STU","Sri Lankan Tamil in the UK","male"
"HG03995","STU","Sri Lankan Tamil in the UK","female"
"HG03998","STU","Sri Lankan Tamil in the UK","male"
"HG03999","STU","Sri Lankan Tamil in the UK","male"
"HG04001","ITU","Indian Telugu in the UK","female"
"HG04002","ITU","Indian Telugu in the UK","male"
"HG04003","STU","Sri Lankan Tamil in the UK","male"
"HG04006","STU","Sri Lankan Tamil in the UK","male"
"HG04014","ITU","Indian Telugu in the UK","female"
"HG04015","ITU","Indian Telugu in the UK","male"
"HG04017","ITU","Indian Telugu in the UK","male"
"HG04018","ITU","Indian Telugu in the UK","female"
"HG04019","ITU","Indian Telugu in the UK","male"
"HG04020","ITU","Indian Telugu in the UK","male"
"HG04022","ITU","Indian Telugu in the UK","male"
"HG04023","ITU","Indian Telugu in the UK","male"
"HG04025","ITU","Indian Telugu in the UK","female"
"HG04026","ITU","Indian Telugu in the UK","female"
"HG04029","STU","Sri Lankan Tamil in the UK","female"
"HG04033","STU","Sri Lankan Tamil in the UK","male"
"HG04035","STU","Sri Lankan Tamil in the UK","female"
"HG04038","STU","Sri Lankan Tamil in the UK","female"
"HG04039","STU","Sri Lankan Tamil in the UK","male"
"HG04042","STU","Sri Lankan Tamil in the UK","female"
"HG04047","STU","Sri Lankan Tamil in the UK","female"
"HG04054","ITU","Indian Telugu in the UK","female"
"HG04056","ITU","Indian Telugu in the UK","male"
"HG04059","ITU","Indian Telugu in the UK","female"
"HG04060","ITU","Indian Telugu in the UK","male"
"HG04061","ITU","Indian Telugu in the UK","male"
"HG04062","ITU","Indian Telugu in the UK","female"
"HG04063","ITU","Indian Telugu in the UK","female"
"HG04070","ITU","Indian Telugu in the UK","female"
"HG04075","STU","Sri Lankan Tamil in the UK","female"
"HG04076","ITU","Indian Telugu in the UK","female"
"HG04080","ITU","Indian Telugu in the UK","male"
"HG04090","ITU","Indian Telugu in the UK","female"
"HG04093","ITU","Indian Telugu in the UK","male"
"HG04094","ITU","Indian Telugu in the UK","male"
"HG04096","ITU","Indian Telugu in the UK","male"
"HG04098","ITU","Indian Telugu in the UK","male"
"HG04099","STU","Sri Lankan Tamil in the UK","female"
"HG04100","STU","Sri Lankan Tamil in the UK","male"
"HG04106","STU","Sri Lankan Tamil in the UK","female"
"HG04107","STU","Sri Lankan Tamil in the UK","male"
"HG04118","ITU","Indian Telugu in the UK","female"
"HG04131","BEB","Bengali in Bangladesh","male"
"HG04134","BEB","Bengali in Bangladesh","male"
"HG04140","BEB","Bengali in Bangladesh","male"
"HG04141","BEB","Bengali in Bangladesh","female"
"HG04144","BEB","Bengali in Bangladesh","female"
"HG04146","BEB","Bengali in Bangladesh","male"
"HG04152","BEB","Bengali in Bangladesh","male"
"HG04153","BEB","Bengali in Bangladesh","female"
"HG04155","BEB","Bengali in Bangladesh","male"
"HG04156","BEB","Bengali in Bangladesh","female"
"HG04158","BEB","Bengali in Bangladesh","male"
"HG04159","BEB","Bengali in Bangladesh","female"
"HG04161","BEB","Bengali in Bangladesh","male"
"HG04162","BEB","Bengali in Bangladesh","female"
"HG04164","BEB","Bengali in Bangladesh","male"
"HG04171","BEB","Bengali in Bangladesh","female"
"HG04173","BEB","Bengali in Bangladesh","male"
"HG04176","BEB","Bengali in Bangladesh","male"
"HG04177","BEB","Bengali in Bangladesh","female"
"HG04180","BEB","Bengali in Bangladesh","female"
"HG04182","BEB","Bengali in Bangladesh","male"
"HG04183","BEB","Bengali in Bangladesh","female"
"HG04185","BEB","Bengali in Bangladesh","male"
"HG04186","BEB","Bengali in Bangladesh","female"
"HG04188","BEB","Bengali in Bangladesh","male"
"HG04189","BEB","Bengali in Bangladesh","female"
"HG04194","BEB","Bengali in Bangladesh","male"
"HG04195","BEB","Bengali in Bangladesh","female"
"HG04198","ITU","Indian Telugu in the UK","male"
"HG04200","ITU","Indian Telugu in the UK","female"
"HG04202","ITU","Indian Telugu in the UK","female"
"HG04206","ITU","Indian Telugu in the UK","male"
"HG04209","ITU","Indian Telugu in the UK","female"
"HG04210","STU","Sri Lankan Tamil in the UK","male"
"HG04211","ITU","Indian Telugu in the UK","male"
"HG04212","ITU","Indian Telugu in the UK","female"
"HG04214","ITU","Indian Telugu in the UK","female"
"HG04216","ITU","Indian Telugu in the UK","female"
"HG04219","ITU","Indian Telugu in the UK","male"
"HG04222","ITU","Indian Telugu in the UK","male"
"HG04225","ITU","Indian Telugu in the UK","male"
"HG04227","STU","Sri Lankan Tamil in the UK","female"
"HG04229","STU","Sri Lankan Tamil in the UK","male"
"HG04235","ITU","Indian Telugu in the UK","male"
"HG04238","ITU","Indian Telugu in the UK","male"
"HG04239","ITU","Indian Telugu in the UK","male"
"HG04301","GBR","British in England and Scotland","female"
"HG04302","GBR","British in England and Scotland","male"
"HG04303","GBR","British in England and Scotland","female"
"NA06984","CEU","Utah residents with Northern and Western European ancestry","male"
"NA06985","CEU","Utah residents with Northern and Western European ancestry","female"
"NA06986","CEU","Utah residents with Northern and Western European ancestry","male"
"NA06989","CEU","Utah residents with Northern and Western European ancestry","female"
"NA06994","CEU","Utah residents with Northern and Western European ancestry","male"
"NA07000","CEU","Utah residents with Northern and Western European ancestry","female"
"NA07037","CEU","Utah residents with Northern and Western European ancestry","female"
"NA07048","CEU","Utah residents with Northern and Western European ancestry","male"
"NA07051","CEU","Utah residents with Northern and Western European ancestry","male"
